rank,name,symbol,market_cap,price,circulating_supply,volume,percent_per_hour,percent_per_week,percent_per_day
1,Bitcoin,BTC,"$1.33T$1,332,661,803,850","$67,636.09","19,705,500 BTC","$27,338,740,087",0.39%,-0.38%,-3.05%
2,Ethereum,ETH,"$448.26B$448,255,130,149","$3,729.48","120,139,698 ETH *","$16,790,635,095",0.59%,-1.98%,-2.38%
3,Tether USDt,USDT,"$111.9B$111,902,887,192",$0.9995,"111,962,821,346 USDT *","$64,340,386,117",-0.01%,0.02%,0.00%
4,BNB,BNB,"$87.18B$87,179,232,965",$590.76,"147,585,445 BNB *","$1,679,867,172",0.56%,-1.40%,-3.89%
5,Solana,SOL,"$75.9B$75,904,049,138",$165.14,"459,621,644 SOL *","$2,819,252,402",0.57%,-2.51%,-7.07%
6,USDC,USDC,"$32.15B$32,146,232,112",$1.00,"32,142,674,013 USDC *","$6,242,342,487",<0.01%,-0.01%,<0.01%
7,XRP,XRP,"$28.68B$28,680,175,991",$0.5174,"55,430,475,754 XRP *","$1,271,974,134",0.62%,-2.42%,-2.40%
8,Dogecoin,DOGE,"$22.94B$22,937,642,927",$0.1587,"144,500,386,384 DOGE","$1,424,347,251",1.24%,-4.01%,-5.08%
9,Cardano,ADA,"$16.1B$16,097,146,129",$0.4509,"35,698,279,792 ADA *","$386,971,782",1.40%,-2.12%,-6.88%
10,Toncoin,TON,"$15.52B$15,522,755,684",$6.44,"2,411,272,300 TON *","$173,441,805",1.07%,-0.68%,-0.58%
11,Shiba Inu,SHIB,"$15.45B$15,448,562,458",$0.00002622,"589,271,840,016,131 SHIB *","$1,561,674,513",1.61%,-5.56%,2.67%
12,Avalanche,AVAX,"$14.18B$14,182,458,192",$36.09,"392,971,852 AVAX *","$407,174,410",1.95%,-2.28%,-9.47%
13,Chainlink,LINK,"$10.74B$10,739,309,607",$18.29,"587,099,970 LINK *","$669,453,538",0.62%,-0.23%,9.26%
14,Polkadot,DOT,"$10.11B$10,112,496,536",$7.03,"1,437,953,431 DOT *","$244,651,808",1.23%,-5.53%,-6.93%
15,TRON,TRX,"$9.69B$9,694,510,007",$0.1109,"87,388,064,398 TRX *","$277,716,207",0.10%,-0.35%,-6.49%
16,Bitcoin Cash,BCH,"$9.18B$9,177,709,231",$465.58,"19,712,553 BCH","$298,595,100",0.83%,-1.10%,-8.23%
17,NEAR Protocol,NEAR,"$7.94B$7,940,935,561",$7.35,"1,080,642,731 NEAR *","$328,490,436",1.49%,-5.15%,-8.32%
18,Polygon,MATIC,"$6.92B$6,920,244,609",$0.6985,"9,907,387,358 MATIC *","$395,115,363",1.15%,-3.92%,-5.15%
19,Uniswap,UNI,"$6.35B$6,347,941,919",$10.60,"598,930,295 UNI *","$193,229,387",1.44%,-2.54%,9.68%
20,Litecoin,LTC,"$6.17B$6,169,152,331",$82.71,"74,586,387 LTC","$321,071,618",0.75%,-0.95%,-4.23%
