rank,name,symbol,market_cap,price,circulating_supply,volume,percent_per_hour,percent_per_week,percent_per_day
1,Bitcoin,BTC,"$1,361,702,382,286","$69,106.59","19,703,306 BTC","$23,305,286,548",-0.19%,2.36%,3.02%
2,Ethereum,ETH,"$448,358,907,149","$3,733.18","120,132,764 ETH *","$15,276,542,899",-0.34%,0.58%,19.49%
3,Tether USDt,USDT,"$111,932,071,871",$0.9999,"111,937,360,458 USDT *","$54,451,960,454",-0.01%,0.05%,-0.05%
4,BNB,BNB,"$88,845,085,576",$601.99,"147,585,808 BNB *","$1,559,076,212",-0.43%,0.82%,4.17%
5,Solana,SOL,"$75,438,431,872",$167.86,"449,411,185 SOL *","$2,560,469,462",-0.68%,0.63%,-3.45%
6,USDC,USDC,"$32,760,747,916",$1.00,"32,759,012,797 USDC *","$4,838,839,382",-0.02%,0.01%,<0.01%
7,XRP,XRP,"$29,714,163,518",$0.5361,"55,430,475,754 XRP *","$832,980,454",-0.45%,0.77%,2.50%
8,Dogecoin,DOGE,"$23,987,900,072",$0.1661,"144,434,426,384 DOGE","$2,019,865,510",-0.95%,1.79%,7.31%
9,Toncoin,TON,"$22,226,307,701",$6.40,"3,474,651,975 TON *","$145,086,330",0.17%,3.53%,-0.85%
10,Cardano,ADA,"$16,436,913,051",$0.4606,"35,689,186,131 ADA *","$290,482,973",-0.38%,-0.49%,-4.09%
11,Avalanche,AVAX,"$14,951,246,525",$38.06,"392,836,139 AVAX *","$291,624,546",-0.90%,0.62%,1.94%
12,Shiba Inu,SHIB,"$14,524,668,825",$0.00002465,"589,271,855,964,889 SHIB *","$481,905,493",-1.31%,1.77%,-0.86%
13,Polkadot,DOT,"$10,481,138,292",$7.29,"1,437,953,431 DOT *","$160,173,211",-0.23%,0.34%,2.16%
14,Chainlink,LINK,"$9,988,506,587",$17.01,"587,099,970 LINK *","$462,314,921",-0.49%,-3.38%,5.61%
15,TRON,TRX,"$9,932,003,608",$0.1136,"87,410,997,569 TRX *","$311,901,167",-0.39%,-0.69%,-8.18%
16,Bitcoin Cash,BCH,"$9,721,888,193",$493.24,"19,710,441 BCH","$340,116,394",-0.35%,1.33%,1.94%
17,NEAR Protocol,NEAR,"$8,712,857,697",$8.07,"1,079,046,829 NEAR *","$471,470,615",0.85%,4.55%,0.84%
18,Polygon,MATIC,"$7,171,894,157",$0.7247,"9,896,952,631 MATIC *","$216,551,926",-0.62%,-0.32%,1.54%
19,Uniswap,UNI,"$6,564,386,739",$10.96,"598,930,295 UNI *","$578,981,019",0.18%,18.07%,42.57%
20,Pepe,PEPE,"$6,343,124,019",$0.00001508,"420,689,899,999,995 PEPE *","$2,398,238,255",-2.23%,9.30%,52.12%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
