rank,name,symbol,market_cap,price,circulating_supply,volume,percent_per_hour,percent_per_week,percent_per_day
1,Bitcoin,BTC,"$1.35T$1,351,678,158,182","$68,579.12","19,704,584 BTC","$31,607,515,867",0.78%,0.27%,-3.45%
2,Ethereum,ETH,"$470.06B$470,061,677,673","$3,911.73","120,137,632 ETH *","$18,463,545,195",1.09%,0.45%,5.42%
3,Tether USDt,USDT,"$111.87B$111,866,843,553",$0.9991,"111,965,329,381 USDT *","$72,733,333,540",0.02%,-0.06%,-0.07%
4,BNB,BNB,"$88.96B$88,963,916,448",$602.80,"147,585,595 BNB *","$1,889,988,078",0.60%,0.18%,-2.87%
5,Solana,SOL,"$76.02B$76,020,521,939",$169.12,"449,514,177 SOL *","$3,062,628,362",1.22%,1.87%,-7.70%
6,USDC,USDC,"$32.46B$32,462,896,673",$1.00,"32,462,701,542 USDC *","$6,611,967,478",0.00%,-0.03%,<0.01%
7,XRP,XRP,"$29.45B$29,454,339,364",$0.5314,"55,430,475,754 XRP *","$1,121,235,612",0.90%,0.44%,-2.30%
8,Dogecoin,DOGE,"$24.12B$24,121,163,369",$0.167,"144,474,816,384 DOGE","$1,519,960,093",1.29%,0.20%,1.39%
9,Toncoin,TON,"$22.4B$22,398,175,694",$6.45,"3,474,743,707 TON *","$173,366,097",0.16%,0.68%,-2.83%
10,Cardano,ADA,"$16.45B$16,448,473,740",$0.4608,"35,694,492,766 ADA *","$423,824,455",0.89%,0.30%,-8.39%
11,Shiba Inu,SHIB,"$14.94B$14,941,109,846",$0.00002536,"589,271,844,790,443 SHIB *","$907,086,039",2.02%,0.05%,-0.87%
12,Avalanche,AVAX,"$14.63B$14,630,625,561",$37.24,"392,912,634 AVAX *","$483,823,130",0.81%,-0.03%,-8.28%
13,Polkadot,DOT,"$10.71B$10,714,472,926",$7.45,"1,437,953,431 DOT *","$292,045,651",0.84%,-0.20%,-1.41%
14,Chainlink,LINK,"$10.66B$10,659,838,742",$18.16,"587,099,970 LINK *","$916,921,449",0.02%,6.07%,7.36%
15,TRON,TRX,"$9.75B$9,754,445,194",$0.1116,"87,398,601,290 TRX *","$356,185,751",0.59%,0.47%,-9.80%
16,Bitcoin Cash,BCH,"$9.33B$9,327,186,390",$473.18,"19,711,747 BCH","$419,358,422",1.57%,-2.68%,-8.94%
17,NEAR Protocol,NEAR,"$8.48B$8,478,044,191",$7.85,"1,079,959,743 NEAR *","$617,694,418",-0.74%,1.70%,-4.30%
18,Polygon,MATIC,"$7.36B$7,357,482,937",$0.7426,"9,907,389,306 MATIC *","$379,105,294",1.50%,2.69%,-0.35%
19,Pepe,PEPE,"$7.08B$7,084,414,823",$0.00001684,"420,689,899,999,995 PEPE *","$2,582,921,483",3.00%,0.84%,51.33%
20,Uniswap,UNI,"$6.52B$6,519,815,379",$10.89,"598,930,295 UNI *","$279,653,878",0.10%,-1.16%,16.45%
