rank,name,symbol,market_cap,price,circulating_supply,volume,percent_per_hour,percent_per_week,percent_per_day
1,Bitcoin,BTC,"$1.36T$1,356,245,631,331","$68,828.09","19,703,909 BTC","$14,656,596,027",0.17%,-0.31%,3.07%
2,Ethereum,ETH,"$462.42B$462,420,228,882","$3,848.97","120,134,874 ETH *","$13,292,779,787",0.32%,2.86%,25.19%
3,Tether USDt,USDT,"$111.89B$111,893,535,034",$0.9996,"111,937,360,453 USDT *","$42,398,118,430",<0.01%,-0.02%,-0.05%
4,BNB,BNB,"$88.69B$88,692,493,106",$600.96,"147,585,716 BNB *","$1,333,627,005",-0.14%,-0.16%,4.32%
5,Solana,SOL,"$73.11B$73,106,363,291",$162.67,"449,403,531 SOL *","$2,362,623,172",0.06%,-2.98%,-4.75%
6,USDC,USDC,"$32.71B$32,707,461,312",$1.00,"32,706,620,995 USDC *","$3,724,394,430",<0.01%,<0.01%,0.00%
7,XRP,XRP,"$29.4B$29,403,220,213",$0.5305,"55,430,475,754 XRP *","$567,759,027",0.09%,-1.47%,3.74%
8,Dogecoin,DOGE,"$24.19B$24,192,379,848",$0.1675,"144,451,166,384 DOGE","$1,568,631,220",0.36%,-0.95%,11.49%
9,Toncoin,TON,"$21.9B$21,900,663,337",$6.30,"3,474,693,318 TON *","$110,627,041",0.14%,-2.50%,-0.99%
10,Cardano,ADA,"$16.36B$16,362,259,883",$0.4585,"35,689,172,410 ADA *","$223,029,891",-0.08%,-0.35%,-1.86%
11,Avalanche,AVAX,"$14.44B$14,436,415,706",$36.74,"392,903,308 AVAX *","$227,876,080",-0.20%,-3.36%,2.62%
12,Shiba Inu,SHIB,"$14.35B$14,353,143,115",$0.00002436,"589,271,853,394,532 SHIB *","$314,500,544",0.26%,-1.95%,1.76%
13,Polkadot,DOT,"$10.83B$10,830,200,688",$7.53,"1,437,953,431 DOT *","$175,692,977",-0.28%,2.63%,7.60%
14,Chainlink,LINK,"$10.03B$10,027,464,154",$17.08,"587,099,970 LINK *","$403,501,538",-0.20%,-1.13%,0.71%
15,TRON,TRX,"$9.88B$9,883,660,863",$0.1131,"87,406,554,140 TRX *","$207,304,158",-0.12%,-0.18%,-6.61%
16,Bitcoin Cash,BCH,"$9.53B$9,529,029,448",$483.44,"19,710,988 BCH","$267,656,898",-0.12%,-1.85%,-1.79%
17,NEAR Protocol,NEAR,"$8.57B$8,571,102,756",$7.94,"1,079,551,623 NEAR *","$447,333,226",0.35%,-1.45%,1.91%
18,Polygon,MATIC,"$7.12B$7,123,497,537",$0.7198,"9,896,953,225 MATIC *","$175,403,742",0.35%,-0.78%,4.50%
19,Uniswap,UNI,"$6.81B$6,805,179,606",$11.36,"598,930,295 UNI *","$536,935,537",-0.87%,4.26%,47.06%
20,Pepe,PEPE,"$6.69B$6,685,772,798",$0.00001589,"420,689,899,999,995 PEPE *","$2,118,061,865",1.39%,4.00%,74.46%
